date,district,market,commodity,unit,pricetype,currency,price,standardized_price
2006-02-15,Nairobi,Nairobi,Maize,KG,Wholesale,KES,16.41,16.41
2006-02-15,Nairobi,Nairobi,Maize,90 KG,Wholesale,KES,1488.0,16.533333333333335
2006-02-15,Nairobi,Nairobi,Potatoes,50 KG,Wholesale,KES,694.44,13.888800000000002
2006-02-15,Nairobi,Nairobi,Sorghum,90 KG,Wholesale,KES,2260.0,25.11111111111111
2006-02-15,Nairobi,Nairobi,Milk,500 ML,Retail,KES,25.0,50.0
2006-02-15,Nairobi,Nairobi,Oil (vegetable),L,Retail,KES,120.0,120.0
2006-02-15,Nairobi,Nairobi,Beans,KG,Wholesale,KES,47.1,47.1
2006-02-15,Nairobi,Nairobi,Beans,90 KG,Wholesale,KES,3485.0,38.72222222222222
2006-02-15,Mandera,Mandera,Maize,KG,Retail,KES,29.0,29.0
2006-02-15,Kisumu,Kisumu,Maize,90 KG,Wholesale,KES,1456.0,16.177777777777777
2006-02-15,Kisumu,Kisumu,Potatoes,50 KG,Wholesale,KES,1184.99,23.6998
2006-02-15,Kisumu,Kisumu,Sorghum,90 KG,Wholesale,KES,1600.0,17.77777777777778
2006-02-15,Kisumu,Kisumu,Beans,KG,Wholesale,KES,42.79,42.79
2006-02-15,Kisumu,Kisumu,Beans,90 KG,Wholesale,KES,4000.0,44.44444444444444
2006-02-15,Turkana,Lodwar (Turkana),Maize,KG,Retail,KES,28.0,28.0
2006-02-15,Uasin Gishu,Eldoret town (Uasin Gishu),Maize,KG,Wholesale,KES,13.12,13.12
2006-02-15,Uasin Gishu,Eldoret town (Uasin Gishu),Maize,90 KG,Wholesale,KES,1304.0,14.488888888888889
2006-02-15,Uasin Gishu,Eldoret town (Uasin Gishu),Potatoes,50 KG,Wholesale,KES,1038.33,20.7666
2006-02-15,Uasin Gishu,Eldoret town (Uasin Gishu),Sorghum,90 KG,Wholesale,KES,1504.0,16.711111111111112
2006-02-15,Uasin Gishu,Eldoret town (Uasin Gishu),Beans,KG,Wholesale,KES,44.02,44.02
2006-02-15,Uasin Gishu,Eldoret town (Uasin Gishu),Beans,90 KG,Wholesale,KES,3150.0,35.0
2006-03-15,Mombasa,Mombasa,Maize,90 KG,Wholesale,KES,1476.0,16.400000000000002
2006-03-15,Mombasa,Mombasa,Beans,KG,Wholesale,KES,44.69,44.69
2006-03-15,Mombasa,Mombasa,Beans,90 KG,Wholesale,KES,3958.75,43.986111111111114
2006-03-15,Kitui,Kitui,Maize,KG,Retail,KES,18.0,18.0
2006-03-15,Kitui,Kitui,Potatoes,50 KG,Wholesale,KES,1722.21,34.4442
2006-03-15,Kitui,Kitui,Sorghum,90 KG,Wholesale,KES,2000.0,22.22222222222222
2006-03-15,Kitui,Kitui,Beans,KG,Retail,KES,47.0,47.0
2006-03-15,Marsabit,Marsabit,Maize,KG,Retail,KES,22.0,22.0
2006-03-15,Nairobi,Nairobi,Maize,KG,Wholesale,KES,16.91,16.91
2006-03-15,Nairobi,Nairobi,Maize,90 KG,Wholesale,KES,1500.0,16.666666666666668
2006-03-15,Nairobi,Nairobi,Potatoes,50 KG,Wholesale,KES,961.11,19.2222
2006-03-15,Nairobi,Nairobi,Sorghum,90 KG,Wholesale,KES,2250.0,25.0
2006-03-15,Nairobi,Nairobi,Milk,500 ML,Retail,KES,25.0,50.0
2006-03-15,Nairobi,Nairobi,Oil (vegetable),L,Retail,KES,108.0,108.0
2006-03-15,Nairobi,Nairobi,Beans,KG,Wholesale,KES,42.31,42.31
2006-03-15,Nairobi,Nairobi,Beans,90 KG,Wholesale,KES,3760.0,41.77777777777778
2006-03-15,Mandera,Mandera,Maize,KG,Retail,KES,27.0,27.0
2006-03-15,Kisumu,Kisumu,Maize,KG,Wholesale,KES,14.75,14.75
2006-03-15,Kisumu,Kisumu,Maize,90 KG,Wholesale,KES,1554.55,17.27277777777778
2006-03-15,Kisumu,Kisumu,Potatoes,50 KG,Wholesale,KES,1872.91,37.458200000000005
2006-03-15,Kisumu,Kisumu,Sorghum,90 KG,Wholesale,KES,1595.0,17.72222222222222
2006-03-15,Kisumu,Kisumu,Beans,KG,Wholesale,KES,54.52,54.52
2006-03-15,Kisumu,Kisumu,Beans,90 KG,Wholesale,KES,4515.0,50.16666666666667
2006-03-15,Turkana,Lodwar (Turkana),Maize,KG,Retail,KES,27.0,27.0
2006-03-15,Uasin Gishu,Eldoret town (Uasin Gishu),Maize,90 KG,Wholesale,KES,1162.22,12.913555555555556
2006-03-15,Uasin Gishu,Eldoret town (Uasin Gishu),Potatoes,50 KG,Wholesale,KES,875.97,17.5194
2006-03-15,Uasin Gishu,Eldoret town (Uasin Gishu),Sorghum,90 KG,Wholesale,KES,1115.75,12.397222222222222
2006-03-15,Uasin Gishu,Eldoret town (Uasin Gishu),Beans,KG,Wholesale,KES,50.54,50.54
2006-03-15,Uasin Gishu,Eldoret town (Uasin Gishu),Beans,90 KG,Wholesale,KES,3305.0,36.72222222222222
2006-04-15,Mombasa,Mombasa,Maize,90 KG,Wholesale,KES,1595.0,17.72222222222222
2006-04-15,Mombasa,Mombasa,Beans,KG,Wholesale,KES,43.84,43.84
2006-04-15,Mombasa,Mombasa,Beans,90 KG,Wholesale,KES,3995.0,44.38888888888889
2006-04-15,Kitui,Kitui,Maize,KG,Retail,KES,19.0,19.0
2006-04-15,Kitui,Kitui,Potatoes,50 KG,Wholesale,KES,1555.55,31.111
2006-04-15,Kitui,Kitui,Sorghum,90 KG,Wholesale,KES,2000.0,22.22222222222222
2006-04-15,Kitui,Kitui,Beans,KG,Retail,KES,53.0,53.0
2006-04-15,Marsabit,Marsabit,Maize,KG,Retail,KES,24.0,24.0
2006-04-15,Nairobi,Nairobi,Maize,KG,Wholesale,KES,17.02,17.02
2006-04-15,Nairobi,Nairobi,Maize,90 KG,Wholesale,KES,1540.0,17.11111111111111
2006-04-15,Nairobi,Nairobi,Potatoes,50 KG,Wholesale,KES,1388.88,27.777600000000003
2006-04-15,Nairobi,Nairobi,Sorghum,90 KG,Wholesale,KES,2310.0,25.666666666666668
2006-04-15,Nairobi,Nairobi,Milk,500 ML,Retail,KES,25.0,50.0
2006-04-15,Nairobi,Nairobi,Oil (vegetable),L,Retail,KES,110.0,110.0
2006-04-15,Nairobi,Nairobi,Beans,KG,Wholesale,KES,47.1,47.1
2006-04-15,Nairobi,Nairobi,Beans,90 KG,Wholesale,KES,4310.0,47.88888888888889
2006-04-15,Mandera,Mandera,Maize,KG,Retail,KES,28.0,28.0
2006-04-15,Kisumu,Kisumu,Maize,KG,Wholesale,KES,16.6,16.6
2006-04-15,Kisumu,Kisumu,Maize,90 KG,Wholesale,KES,1520.0,16.88888888888889
2006-04-15,Kisumu,Kisumu,Potatoes,50 KG,Wholesale,KES,1911.11,38.2222
2006-04-15,Kisumu,Kisumu,Sorghum,90 KG,Wholesale,KES,1600.0,17.77777777777778
2006-04-15,Kisumu,Kisumu,Beans,KG,Wholesale,KES,50.15,50.15
2006-04-15,Kisumu,Kisumu,Beans,90 KG,Wholesale,KES,4640.0,51.55555555555556
2006-04-15,Turkana,Lodwar (Turkana),Maize,KG,Retail,KES,30.0,30.0
2006-04-15,Uasin Gishu,Eldoret town (Uasin Gishu),Maize,90 KG,Wholesale,KES,1277.0,14.18888888888889
2006-04-15,Uasin Gishu,Eldoret town (Uasin Gishu),Potatoes,50 KG,Wholesale,KES,796.1,15.922
2006-04-15,Uasin Gishu,Eldoret town (Uasin Gishu),Sorghum,90 KG,Wholesale,KES,1035.0,11.5
2006-04-15,Uasin Gishu,Eldoret town (Uasin Gishu),Beans,KG,Wholesale,KES,48.6,48.6
2006-04-15,Uasin Gishu,Eldoret town (Uasin Gishu),Beans,90 KG,Wholesale,KES,3060.0,34.0
2006-05-15,Mombasa,Mombasa,Maize,90 KG,Wholesale,KES,1739.47,19.327444444444446
2006-05-15,Mombasa,Mombasa,Beans,KG,Wholesale,KES,39.73,39.73
2006-05-15,Mombasa,Mombasa,Beans,90 KG,Wholesale,KES,3978.95,44.21055555555556
2006-05-15,Kitui,Kitui,Maize,KG,Retail,KES,22.0,22.0
2006-05-15,Kitui,Kitui,Beans,KG,Retail,KES,51.0,51.0
2006-05-15,Marsabit,Marsabit,Maize,KG,Retail,KES,22.0,22.0
2006-05-15,Nairobi,Nairobi,Maize,KG,Wholesale,KES,17.71,17.71
2006-05-15,Nairobi,Nairobi,Maize,90 KG,Wholesale,KES,1624.76,18.05288888888889
2006-05-15,Nairobi,Nairobi,Potatoes,50 KG,Wholesale,KES,1624.99,32.4998
2006-05-15,Nairobi,Nairobi,Sorghum,90 KG,Wholesale,KES,2014.29,22.381
2006-05-15,Nairobi,Nairobi,Milk,500 ML,Retail,KES,25.0,50.0
2006-05-15,Nairobi,Nairobi,Oil (vegetable),L,Retail,KES,120.0,120.0
2006-05-15,Nairobi,Nairobi,Beans,KG,Wholesale,KES,49.72,49.72
2006-05-15,Nairobi,Nairobi,Beans,90 KG,Wholesale,KES,4505.0,50.05555555555556
2006-05-15,Mandera,Mandera,Maize,KG,Retail,KES,25.0,25.0
2006-05-15,Kisumu,Kisumu,Maize,90 KG,Wholesale,KES,1720.0,19.11111111111111
2006-05-15,Kisumu,Kisumu,Potatoes,50 KG,Wholesale,KES,1111.1,22.221999999999998
2006-05-15,Kisumu,Kisumu,Sorghum,90 KG,Wholesale,KES,1400.0,15.555555555555555
2006-05-15,Kisumu,Kisumu,Beans,KG,Wholesale,KES,48.09,48.09
2006-05-15,Kisumu,Kisumu,Beans,90 KG,Wholesale,KES,4543.0,50.47777777777778
2006-05-15,Turkana,Lodwar (Turkana),Maize,KG,Retail,KES,26.0,26.0
2006-05-15,Uasin Gishu,Eldoret town (Uasin Gishu),Maize,KG,Wholesale,KES,15.58,15.58
2006-05-15,Uasin Gishu,Eldoret town (Uasin Gishu),Maize,90 KG,Wholesale,KES,1445.26,16.058444444444444
2006-05-15,Uasin Gishu,Eldoret town (Uasin Gishu),Potatoes,50 KG,Wholesale,KES,690.05,13.801
2006-05-15,Uasin Gishu,Eldoret town (Uasin Gishu),Sorghum,90 KG,Wholesale,KES,1031.58,11.462
2006-05-15,Uasin Gishu,Eldoret town (Uasin Gishu),Beans,KG,Wholesale,KES,53.6,53.6
2006-05-15,Uasin Gishu,Eldoret town (Uasin Gishu),Beans,90 KG,Wholesale,KES,3311.0,36.78888888888889
2006-06-15,Mombasa,Mombasa,Maize,KG,Wholesale,KES,20.1,20.1
2006-06-15,Mombasa,Mombasa,Maize,90 KG,Wholesale,KES,1814.75,20.16388888888889
2006-06-15,Mombasa,Mombasa,Beans,KG,Wholesale,KES,28.23,28.23
2006-06-15,Mombasa,Mombasa,Beans,90 KG,Wholesale,KES,2706.25,30.069444444444446
2006-06-15,Kitui,Kitui,Maize,KG,Retail,KES,22.0,22.0
2006-06-15,Kitui,Kitui,Beans,KG,Retail,KES,53.0,53.0
2006-06-15,Marsabit,Marsabit,Maize,KG,Retail,KES,20.0,20.0
2006-06-15,Nairobi,Nairobi,Maize,KG,Wholesale,KES,16.96,16.96
2006-06-15,Nairobi,Nairobi,Maize,90 KG,Wholesale,KES,1550.91,17.232333333333337
2006-06-15,Nairobi,Nairobi,Potatoes,50 KG,Wholesale,KES,861.1,17.222
2006-06-15,Nairobi,Nairobi,Sorghum,90 KG,Wholesale,KES,1978.07,21.978555555555555
2006-06-15,Nairobi,Nairobi,Milk,500 ML,Retail,KES,22.0,44.0
2006-06-15,Nairobi,Nairobi,Oil (vegetable),L,Retail,KES,120.0,120.0
2006-06-15,Nairobi,Nairobi,Beans,KG,Wholesale,KES,33.07,33.07
2006-06-15,Nairobi,Nairobi,Beans,90 KG,Wholesale,KES,3017.0,33.522222222222226
2006-06-15,Mandera,Mandera,Maize,KG,Retail,KES,22.0,22.0
2006-06-15,Kisumu,Kisumu,Maize,90 KG,Wholesale,KES,1714.0,19.044444444444444
2006-06-15,Kisumu,Kisumu,Potatoes,50 KG,Wholesale,KES,586.11,11.7222
2006-06-15,Kisumu,Kisumu,Sorghum,90 KG,Wholesale,KES,1220.0,13.555555555555555
2006-06-15,Kisumu,Kisumu,Beans,KG,Wholesale,KES,38.51,38.51
2006-06-15,Kisumu,Kisumu,Beans,90 KG,Wholesale,KES,3340.0,37.111111111111114
2006-06-15,Turkana,Lodwar (Turkana),Maize,KG,Retail,KES,27.0,27.0
2006-06-15,Uasin Gishu,Eldoret town (Uasin Gishu),Maize,KG,Wholesale,KES,17.03,17.03
2006-06-15,Uasin Gishu,Eldoret town (Uasin Gishu),Maize,90 KG,Wholesale,KES,1549.0,17.211111111111112
2006-06-15,Uasin Gishu,Eldoret town (Uasin Gishu),Potatoes,50 KG,Wholesale,KES,450.61,9.0122
2006-06-15,Uasin Gishu,Eldoret town (Uasin Gishu),Sorghum,90 KG,Wholesale,KES,1322.22,14.691333333333334
2006-06-15,Uasin Gishu,Eldoret town (Uasin Gishu),Beans,KG,Wholesale,KES,46.06,46.06
2006-06-15,Uasin Gishu,Eldoret town (Uasin Gishu),Beans,90 KG,Wholesale,KES,2978.0,33.08888888888889
2006-07-15,Mombasa,Mombasa,Maize,KG,Wholesale,KES,19.92,19.92
2006-07-15,Mombasa,Mombasa,Maize,90 KG,Wholesale,KES,1695.0,18.833333333333336
2006-07-15,Mombasa,Mombasa,Beans,KG,Wholesale,KES,30.15,30.15
2006-07-15,Mombasa,Mombasa,Beans,90 KG,Wholesale,KES,2750.0,30.555555555555557
2006-07-15,Kitui,Kitui,Maize,KG,Retail,KES,22.0,22.0
2006-07-15,Kitui,Kitui,Beans,KG,Retail,KES,51.0,51.0
2006-07-15,Marsabit,Marsabit,Maize,KG,Retail,KES,21.0,21.0
2006-07-15,Nairobi,Nairobi,Maize,KG,Wholesale,KES,18.61,18.61
2006-07-15,Nairobi,Nairobi,Maize,90 KG,Wholesale,KES,1690.67,18.785222222222224
2006-07-15,Nairobi,Nairobi,Potatoes,50 KG,Wholesale,KES,662.22,13.2444
2006-07-15,Nairobi,Nairobi,Sorghum,90 KG,Wholesale,KES,1680.0,18.666666666666668
2006-07-15,Nairobi,Nairobi,Milk,500 ML,Retail,KES,22.0,44.0
2006-07-15,Nairobi,Nairobi,Oil (vegetable),L,Retail,KES,115.0,115.0
2006-07-15,Nairobi,Nairobi,Beans,KG,Wholesale,KES,30.3,30.3
2006-07-15,Nairobi,Nairobi,Beans,90 KG,Wholesale,KES,2760.0,30.666666666666668
2006-07-15,Mandera,Mandera,Maize,KG,Retail,KES,23.0,23.0
2006-07-15,Kisumu,Kisumu,Maize,KG,Wholesale,KES,17.26,17.26
2006-07-15,Kisumu,Kisumu,Maize,90 KG,Wholesale,KES,1533.33,17.037
2006-07-15,Kisumu,Kisumu,Potatoes,50 KG,Wholesale,KES,455.55,9.111
2006-07-15,Kisumu,Kisumu,Sorghum,90 KG,Wholesale,KES,1450.0,16.11111111111111
2006-07-15,Kisumu,Kisumu,Beans,KG,Wholesale,KES,34.77,34.77
2006-07-15,Kisumu,Kisumu,Beans,90 KG,Wholesale,KES,3200.0,35.55555555555556
2006-07-15,Turkana,Lodwar (Turkana),Maize,KG,Retail,KES,26.0,26.0
2006-07-15,Uasin Gishu,Eldoret town (Uasin Gishu),Maize,90 KG,Wholesale,KES,1550.0,17.22222222222222
2006-07-15,Uasin Gishu,Eldoret town (Uasin Gishu),Potatoes,50 KG,Wholesale,KES,333.32,6.6664
2006-07-15,Uasin Gishu,Eldoret town (Uasin Gishu),Sorghum,90 KG,Wholesale,KES,1000.0,11.11111111111111
2006-07-15,Uasin Gishu,Eldoret town (Uasin Gishu),Beans,KG,Wholesale,KES,41.43,41.43
2006-07-15,Uasin Gishu,Eldoret town (Uasin Gishu),Beans,90 KG,Wholesale,KES,2260.0,25.11111111111111
2006-08-15,Mombasa,Mombasa,Maize,90 KG,Wholesale,KES,1131.25,12.569444444444445
2006-08-15,Mombasa,Mombasa,Beans,KG,Wholesale,KES,30.59,30.59
2006-08-15,Mombasa,Mombasa,Beans,90 KG,Wholesale,KES,2798.75,31.097222222222225
2006-08-15,Kitui,Kitui,Maize,KG,Retail,KES,21.0,21.0
2006-08-15,Kitui,Kitui,Beans,KG,Retail,KES,42.0,42.0
2006-08-15,Marsabit,Marsabit,Maize,KG,Retail,KES,22.0,22.0
2006-08-15,Nairobi,Nairobi,Maize,KG,Wholesale,KES,17.5,17.5
2006-08-15,Nairobi,Nairobi,Maize,90 KG,Wholesale,KES,1585.75,17.619444444444444
2006-08-15,Nairobi,Nairobi,Potatoes,50 KG,Wholesale,KES,555.55,11.110999999999999
2006-08-15,Nairobi,Nairobi,Sorghum,90 KG,Wholesale,KES,1668.75,18.541666666666668
2006-08-15,Nairobi,Nairobi,Milk,500 ML,Retail,KES,20.0,40.0
2006-08-15,Nairobi,Nairobi,Oil (vegetable),L,Retail,KES,120.0,120.0
2006-08-15,Nairobi,Nairobi,Beans,KG,Wholesale,KES,30.59,30.59
2006-08-15,Nairobi,Nairobi,Beans,90 KG,Wholesale,KES,2888.0,32.08888888888889
2006-08-15,Mandera,Mandera,Maize,KG,Retail,KES,23.0,23.0
2006-08-15,Kisumu,Kisumu,Maize,90 KG,Wholesale,KES,1231.0,13.677777777777779
2006-08-15,Kisumu,Kisumu,Beans,KG,Wholesale,KES,30.12,30.12
2006-08-15,Kisumu,Kisumu,Beans,90 KG,Wholesale,KES,2777.0,30.855555555555558
2006-08-15,Turkana,Lodwar (Turkana),Maize,KG,Retail,KES,27.0,27.0
2006-08-15,Uasin Gishu,Eldoret town (Uasin Gishu),Maize,90 KG,Wholesale,KES,1529.5,16.994444444444444
2006-08-15,Uasin Gishu,Eldoret town (Uasin Gishu),Potatoes,50 KG,Wholesale,KES,468.51,9.3702
2006-08-15,Uasin Gishu,Eldoret town (Uasin Gishu),Sorghum,90 KG,Wholesale,KES,925.0,10.277777777777779
2006-08-15,Uasin Gishu,Eldoret town (Uasin Gishu),Beans,KG,Wholesale,KES,29.39,29.39
2006-08-15,Uasin Gishu,Eldoret town (Uasin Gishu),Beans,90 KG,Wholesale,KES,1975.0,21.944444444444446
2006-09-15,Mombasa,Mombasa,Maize,KG,Wholesale,KES,11.77,11.77
2006-09-15,Mombasa,Mombasa,Maize,90 KG,Wholesale,KES,1075.0,11.944444444444445
2006-09-15,Mombasa,Mombasa,Beans,KG,Wholesale,KES,32.57,32.57
2006-09-15,Mombasa,Mombasa,Beans,90 KG,Wholesale,KES,3043.75,33.81944444444444
2006-09-15,Kitui,Kitui,Maize,KG,Retail,KES,19.0,19.0
2006-09-15,Kitui,Kitui,Beans,KG,Retail,KES,42.0,42.0
2006-09-15,Marsabit,Marsabit,Maize,KG,Retail,KES,20.0,20.0
2006-09-15,Nairobi,Nairobi,Maize,KG,Wholesale,KES,14.8,14.8
2006-09-15,Nairobi,Nairobi,Maize,90 KG,Wholesale,KES,1278.0,14.200000000000001
2006-09-15,Nairobi,Nairobi,Potatoes,50 KG,Wholesale,KES,582.22,11.644400000000001
2006-09-15,Nairobi,Nairobi,Sorghum,90 KG,Wholesale,KES,1905.0,21.166666666666668
2006-09-15,Nairobi,Nairobi,Milk,500 ML,Retail,KES,20.0,40.0
2006-09-15,Nairobi,Nairobi,Oil (vegetable),L,Retail,KES,120.0,120.0
2006-09-15,Nairobi,Nairobi,Beans,KG,Wholesale,KES,34.75,34.75
2006-09-15,Nairobi,Nairobi,Beans,90 KG,Wholesale,KES,3093.0,34.36666666666667
2006-09-15,Mandera,Mandera,Maize,KG,Retail,KES,22.0,22.0
2006-09-15,Kisumu,Kisumu,Maize,KG,Wholesale,KES,13.6,13.6
2006-09-15,Kisumu,Kisumu,Maize,90 KG,Wholesale,KES,1242.0,13.8
2006-09-15,Kisumu,Kisumu,Beans,KG,Wholesale,KES,30.74,30.74
2006-09-15,Kisumu,Kisumu,Beans,90 KG,Wholesale,KES,2811.0,31.233333333333334
2006-09-15,Turkana,Lodwar (Turkana),Maize,KG,Retail,KES,29.0,29.0
2006-09-15,Uasin Gishu,Eldoret town (Uasin Gishu),Maize,90 KG,Wholesale,KES,1124.38,12.493111111111112
2006-09-15,Uasin Gishu,Eldoret town (Uasin Gishu),Potatoes,50 KG,Wholesale,KES,336.8,6.736000000000001
2006-09-15,Uasin Gishu,Eldoret town (Uasin Gishu),Sorghum,90 KG,Wholesale,KES,967.5,10.75
2006-09-15,Uasin Gishu,Eldoret town (Uasin Gishu),Beans,KG,Wholesale,KES,36.49,36.49
2006-09-15,Uasin Gishu,Eldoret town (Uasin Gishu),Beans,90 KG,Wholesale,KES,2700.0,30.0
2006-10-15,Mombasa,Mombasa,Maize,KG,Wholesale,KES,12.49,12.49
2006-10-15,Mombasa,Mombasa,Maize,90 KG,Wholesale,KES,1133.0,12.588888888888889
2006-10-15,Mombasa,Mombasa,Beans,KG,Wholesale,KES,32.63,32.63
2006-10-15,Mombasa,Mombasa,Beans,90 KG,Wholesale,KES,3023.75,33.59722222222222
2006-10-15,Kitui,Kitui,Maize,KG,Retail,KES,19.0,19.0
2006-10-15,Kitui,Kitui,Beans,KG,Retail,KES,44.0,44.0
2006-10-15,Marsabit,Marsabit,Maize,KG,Retail,KES,21.0,21.0
2006-10-15,Nairobi,Nairobi,Maize,KG,Wholesale,KES,14.34,14.34
2006-10-15,Nairobi,Nairobi,Maize,90 KG,Wholesale,KES,1293.25,14.369444444444445
2006-10-15,Nairobi,Nairobi,Potatoes,50 KG,Wholesale,KES,658.88,13.1776
2006-10-15,Nairobi,Nairobi,Sorghum,90 KG,Wholesale,KES,2133.33,23.703666666666667
2006-10-15,Nairobi,Nairobi,Milk,500 ML,Retail,KES,20.0,40.0
2006-10-15,Nairobi,Nairobi,Oil (vegetable),L,Retail,KES,120.0,120.0
2006-10-15,Nairobi,Nairobi,Beans,KG,Wholesale,KES,35.8,35.8
2006-10-15,Nairobi,Nairobi,Beans,90 KG,Wholesale,KES,3280.0,36.44444444444444
2006-10-15,Mandera,Mandera,Maize,KG,Retail,KES,23.0,23.0
2006-10-15,Kisumu,Kisumu,Maize,90 KG,Wholesale,KES,1282.0,14.244444444444445
2006-10-15,Kisumu,Kisumu,Beans,KG,Wholesale,KES,30.94,30.94
2006-10-15,Kisumu,Kisumu,Beans,90 KG,Wholesale,KES,2889.0,32.1
2006-10-15,Turkana,Lodwar (Turkana),Maize,KG,Retail,KES,30.0,30.0
2006-10-15,Uasin Gishu,Eldoret town (Uasin Gishu),Maize,KG,Wholesale,KES,11.77,11.77
2006-10-15,Uasin Gishu,Eldoret town (Uasin Gishu),Maize,90 KG,Wholesale,KES,1053.0,11.700000000000001
2006-10-15,Uasin Gishu,Eldoret town (Uasin Gishu),Potatoes,50 KG,Wholesale,KES,621.11,12.4222
2006-10-15,Uasin Gishu,Eldoret town (Uasin Gishu),Sorghum,90 KG,Wholesale,KES,1020.0,11.333333333333334
2006-10-15,Uasin Gishu,Eldoret town (Uasin Gishu),Beans,KG,Wholesale,KES,38.18,38.18
2006-10-15,Uasin Gishu,Eldoret town (Uasin Gishu),Beans,90 KG,Wholesale,KES,2400.0,26.666666666666668
2006-11-15,Mombasa,Mombasa,Maize,KG,Wholesale,KES,12.68,12.68
2006-11-15,Mombasa,Mombasa,Maize,90 KG,Wholesale,KES,1148.0,12.755555555555556
2006-11-15,Mombasa,Mombasa,Beans,KG,Wholesale,KES,29.9,29.9
2006-11-15,Mombasa,Mombasa,Beans,90 KG,Wholesale,KES,2774.0,30.822222222222223
2006-11-15,Kitui,Kitui,Maize,KG,Retail,KES,19.0,19.0
2006-11-15,Kitui,Kitui,Beans,KG,Retail,KES,44.0,44.0
2006-11-15,Marsabit,Marsabit,Maize,KG,Retail,KES,20.0,20.0
2006-11-15,Nairobi,Nairobi,Maize,KG,Wholesale,KES,14.19,14.19
2006-11-15,Nairobi,Nairobi,Maize,90 KG,Wholesale,KES,1273.6,14.15111111111111
2006-11-15,Nairobi,Nairobi,Potatoes,50 KG,Wholesale,KES,955.55,19.111
2006-11-15,Nairobi,Nairobi,Sorghum,90 KG,Wholesale,KES,2108.0,23.422222222222224
2006-11-15,Nairobi,Nairobi,Milk,500 ML,Retail,KES,20.0,40.0
2006-11-15,Nairobi,Nairobi,Oil (vegetable),L,Retail,KES,135.0,135.0
2006-11-15,Nairobi,Nairobi,Beans,KG,Wholesale,KES,34.03,34.03
